brand,clave,rendimiento,price,precio_original,model,impresoras,description
HP,CF283A,1500,453.15,836.58,LaserJet,#N/A,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,1160,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,1160LE,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,1320,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,1320n,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,1320nw,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,1320tn,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,3390,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q5949A,3000,633.39,1169.33,LASERJET,3392,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q7553A,3000,633.39,1169.33,HP LASERJET,P2014,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q7553A,3000,633.39,1170.33,HP LASERJET,P2015,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q7553A,3000,633.39,1171.33,HP LASERJET,P2015D,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q7553A,3000,633.39,1172.33,HP LASERJET,P2015DN,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q7553A,3000,633.39,1173.33,HP LASERJET,P2015N,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q7553A,3000,633.39,1174.33,HP LASERJET,P2015X,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q7553A,3000,633.39,1175.33,HP LASERJET,M2727NF,"Toner, Color Negro, Rendimiento 3,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,13200,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,1320n,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,1320nw,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,1320TW,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,3390,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,3392,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,13200,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,1320n,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,1320nw,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,1320TW,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,3390,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q5949X,7000,927.13,2139.53,LASERJET,3392,"Toner, Color Negro, Rendimiento 6,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,P2014,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,P2015,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,P2015D,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,P2015DN,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,P2015N,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,P2015X,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,Q7553X,7000,927.13,2139.53,HP LASERJET,M2727NF,"Toner, Color Negro, Rendimiento 7,000 paginas"
HP,CB435A,2000,450.52,831.73,HP LASERJET,P1002,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,CB435A,2000,450.52,831.73,HP LASERJET,P1003,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,CB435A,2000,450.52,831.73,HP LASERJET,P1004,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,CB435A,2000,450.52,831.73,HP LASERJET,P1005,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,CB435A,2000,450.52,831.73,HP LASERJET,P1006,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,CB435A,2000,450.52,831.73,HP LASERJET,P1009,"Toner, Color Negro, Rendimiento 1,500 paginas"
HP,CB436A,2000,450.52,831.73,HP LASERJET,P1505,"Toner, Color Negro, Rendimiento 2,000 paginas"
HP,CB436A,2000,450.52,831.73,HP LASERJET,P1505N,"Toner, Color Negro, Rendimiento 2,000 paginas"
